Región,Año,"Cáncer de tráquea, bronquios y pulmón",Cáncer de piel maligno,Cáncer de mama,Cáncer de próstata,Cáncer cerebral y del sistema nervioso central,numero de muertes totales
Germany,1990,37219,2023,19246,11641,4421,196135
Germany,1991,37500,2059,19388,11821,4537,197234
Germany,1992,37545,2068,19394,11990,4647,197053
Germany,1993,38258,2099,19749,12182,4779,199729
Germany,1994,39064,2118,19971,12477,4924,202811
Germany,1995,40116,2124,20243,12777,5104,206621
Germany,1996,41019,2126,20386,12945,5272,210120
Germany,1997,41800,2128,20242,13022,5442,212680
Germany,1998,42877,2125,20093,13243,5706,217083
Germany,1999,44677,2146,20043,13530,5957,224490
Germany,2000,47360,2167,19774,13985,6238,234233
Germany,2001,48488,2189,19633,14303,6386,239125
Germany,2002,49980,2243,19780,14611,6519,244861
Germany,2003,51108,2309,19798,14696,6603,247885
Germany,2004,51551,2329,19662,15041,6663,248024
Germany,2005,52330,2378,19659,15390,6706,249796
Germany,2006,52815,2429,19587,15661,6715,250267
Germany,2007,53456,2517,19676,15910,6721,251442
Germany,2008,54036,2616,19955,16168,6749,252860
Germany,2009,54379,2731,20199,16399,6736,253077
Germany,2010,53102,2827,20317,16503,6601,248515
Germany,2011,52195,2897,20407,16422,6503,244683
Germany,2012,52029,2979,20530,16609,6473,244238
Germany,2013,52398,3069,20927,16876,6468,246270
Germany,2014,52073,3104,20855,17249,6481,245716
Germany,2015,52664,3184,21503,17709,6545,250917
Germany,2016,52757,3188,21746,18217,6613,253658
Germany,2017,52819,3175,21551,18804,6660,255890
Germany,2018,53327,3186,21554,19394,6718,259601
Germany,2019,53968,3211,21652,20146,6786,264572
Portugal,1990,2821,108,1818,1569,540,20915
Portugal,1991,2939,115,1881,1633,548,21470
Portugal,1992,3010,121,1896,1687,558,21717
Portugal,1993,3134,127,1937,1752,567,22267
Portugal,1994,3118,132,1904,1820,578,22154
Portugal,1995,3246,140,1939,1889,587,22803
Portugal,1996,3375,150,1966,1978,600,23453
Portugal,1997,3400,157,1988,2040,613,23716
Portugal,1998,3502,167,1989,2090,633,24164
Portugal,1999,3577,176,2000,2143,654,24650
Portugal,2000,3616,182,2009,2165,675,24865
Portugal,2001,3693,187,2028,2155,694,25203
Portugal,2002,3820,191,2021,2166,709,25620
Portugal,2003,3945,202,2033,2172,721,26077
Portugal,2004,3963,207,1982,2189,733,25916
Portugal,2005,4088,212,2017,2201,744,26299
Portugal,2006,4189,217,2002,2216,748,26549
Portugal,2007,4248,224,2021,2222,775,27042
Portugal,2008,4314,234,2034,2239,793,27476
Portugal,2009,4404,241,2054,2250,811,27890
Portugal,2010,4469,251,2053,2271,832,28181
Portugal,2011,4520,258,2054,2282,853,28445
Portugal,2012,4573,265,2057,2308,866,28713
Portugal,2013,4645,268,2042,2324,876,28890
Portugal,2014,4620,271,2037,2342,876,28864
Portugal,2015,4601,269,2048,2403,883,29031
Portugal,2016,4706,271,2083,2460,883,29638
Portugal,2017,4706,274,2098,2529,883,29970
Portugal,2018,4679,277,2124,2593,887,30261
Portugal,2019,4709,282,2145,2678,892,30732
United Kingdom,1990,42711,1560,17431,10528,3357,165165
United Kingdom,1991,42238,1591,17363,10770,3370,165028
United Kingdom,1992,41794,1628,17304,11014,3407,165183
United Kingdom,1993,41784,1697,17344,11174,3419,166170
United Kingdom,1994,40932,1727,17050,11341,3437,164497
United Kingdom,1995,40702,1772,16992,11474,3463,164870
United Kingdom,1996,40073,1799,16755,11554,3494,163838
